t_id,text
242,la i ll be performing at french toast comedy taix this sunday night fb
243,hannahnordhaus sorry i wasn t able to make it yesterday hope the reading went well see you at the reunion
244,if you don t know what email you just spammed me at you have some fucking gall asking me to enter it to get rid of you everyotherlist fb
247,i ll be at the latimes festival of books morningjewshow fans and interview possibilities let me know what you think is good for the jews
255,sarahm thanks for passing on dearsplenda s piece so much of this has to do with who has experience being uncomfortable jonronson
259,rt ppact pm est join us for a twitter storm to say we need equalpaynow why because we can do better than this http t co i z
260,last tweet was via jeremiah wallace
266,kithonline i love your tour photo hoping it means you ll do one banjo number he s the bomb did my pic too
269,debcha dealing with my ivy league alma mater re my th reunion has been class central really shameful
271,rt lauraclawson serious s cuteness from team hillary http t co idg aqbxkh
272,monstro of course
273,monstro my pleasure would love to do an audio interview important to fan the flames of honesty
274,yvesbehar i remember
275,lukedanielswpg welcome
276,worth checking on the last chunk of monstro s timeline for some start up founder realness especially if you think raising means having
279,special occasion americans look away you ll find no leadership here alternative hillary clinton video fb
280,sukhjit zoning anagram requirement
281,if i were in the bay area i d be going to kithonline you should you should also admire their tour photo by the great david hawe
282,dweinberger i feel like the person with the best chance to beat her is her and also her husband
283,rt evilllamas http t co dukj yilrn
285,hillary the diversity was terrific it was like the fast and furious of political announcement ads
286,jessicachaffin working her tuchus off during the latest ronnaandbeverly w the least helpful interviewee i ve ever heard
287,benschwartzy sadydoyle yeah i feel like they re linked so much about masculine anxiety and vulnerability and fear of emotion
288,dweinberger it s a thrill to consider the first woman president but i also know the problems the us is facing will need more radical soon
289,dweinberger i m counting on the gop to maintain its unlike ability and increase hers
290,rt sadydoyle but boy howdy i am not looking forward to wading through liberals creepy unacknowledged neuroses about female power for th
292,timoreilly pahlkadot mazel tov guys
293,rt changeist heathr this is my point not contained in traditional duopoly in future no more unitary parties
294,changeist maybe something that seems unforseen will happen
296,changeist that s not the gop base though and libertarian politics will only amplify the poverty problem so i don t think dems will go
298,the big hilary clinton question will now be the moment her win looks most inevitable willshescrewitup
299,changeist i think us politics may begin to look much more like israel s internal politics re christian religious population
300,changeist i also think the don t tax me billionaires are naive about the candidates population they think they can control
301,changeist big libertarian money though like w cruz will keep funding religious theocracy i think the culture war is also a distraction
302,changeist i m guessing we ll see tech workers w good jobs making good money not be able to afford to live in sf
303,yup or feel it ironically the thing that ends shame is openness changeist heathr nobody wants to talk about the shame
304,changeist if you ve something butch to say about street life making you tough there s a market dorothea lange would be called a whiner
305,changeist just doesn t seem like it can hold and the vulnerability of economic loss seems like the most forbidden topic in public
306,changeist yes and when the economics of the situation keep most folks investment too busy to do anything or afraid for survival employment
307,changeist me too so why and without a class movement what limit is there on fascism
309,changeist will the gop citizens united billionaire candidate buy direction lead to a meaningful class movement
310,rt theferocity it shouldn t be the job of women writers of color to teach straight white men how to read diverse work we read your wor
311,rt heerjeet cruz plus sugar daddy is potent combination because ostensible frontrunner jeb bush is vulnerable for host of reasons
313,rt heerjeet in the long term though a cruz ascendency will be as bad for the dems as the gop he will push american politics even h
314,rt heerjeet in the short term a cruz ascendency is great news for the dems he will make gop toxic on national level amp insure hillar
315,rt heerjeet my line on cruz has always been imagine a joseph mccarthy or goldwater with twice their iq points a dangerous man
316,middle age is spending a saturday cleaning up bookshelf and receipts and feeling like a goddamned genius thebardrops fb
318,happy end of passover everyone my san francisco plagues http t co d x jvy
319,rt newyorktheater tremble your whole life is a rehearsal for the moment you are in now rip livingtheatre s judith malina http t co
321,rt feldmanadam patti lupone bridgeteverett hall and oates motorboat this is the best seconds in history http t co vcwzkipgyt
322,i wish the fallon show would kill the min before every guest bit in which they do a line reading about what they ll do next spontaneously
323,heard human quacking then i realized a duck boat pulled up next to me at the light fb
324,billmckibben it worked for s african divestment at yale though it took sometime
325,one that gives you this ronaldoca heathr in all seriousness what jewish deli worth its salt is open on passover http t co pbpq iuanf
327,in a jewish deli and just watched a guy order mayo fb
328,steverolston thank you
329,melissapierce aw marikotamaki morningjewshow
330,interviewing my sweetheart writer marikotamaki for morningjewshow right now any questions for her
331,if you haven t dated since it moved to phone apps that s a good incentive to make your relationship work fb
336,rt timcarvell unsolicited advice if you get your tickets to fun home now you can say you saw it before it won every prize there is
338,barsoomcore congrats corey
343,simongdunham this is a really important piece and if we could get an accurate count i wonder what ge of the country is sick in some way
346,i know kaporcpital therealfreada mkapor have unusual commitment but i think this will trend w vcs like design design partners has
349,keep yr name clean wb guru still amazed how delasoul raised k in days after asking for only k respect lasts forever
352,bruces i ve been thinking of it quite often these days every time i hear a tech scion mention universal income
356,debcha canadian
359,rt sandmansimonds art does not exist to confirm your understanding of the world
360,the unexpected so far seem seems to come in part from being present enjoying this piece about filmmakinglabs one day i ll study w her
361,when i began experimenting w making interactive pieces tummeling i found the unexpected was more engaging than conflict cc filmmakinglabs
363,night good people fb
365,wonderful seder happy pesach and easter night good people here s to liberation from what seems like inevitable suffering fb
366,rt itswanda even if we have democracy it s become more and more irrelevant capitalism no longer needs democracy to function zizek
370,my only regret abt living in oakland is living next to oakland tech high which plays stadium level music outside weekly for about kids
371,children assembling on the white house lawn this afternoon to hunt for the afikomen that ll only happen after monica lewinsky s president
372,water shortage is like the hiv epidemic searing reminders we re all connected isolation isn t an option fb
373,with liberty and justice for all lieseveryonetells fb
374,oh shit the curses are coming out every over entitled dude bay comes in her end orders an unnecessarily complicated cocktail thelex
375,they had their backs to all i profiled them as tech guys cause they were wearing betarand shirts tucked into salmon coloured pants thelex
376,i want straight people to know what it feels like to wait work and search for a room where they can stand around with people like them fb
377,tayhatmaker it s making me regret i did not write more about queers and my queer life all these years i didn t write enough
378,tayhatmaker it s being recorded lexington archive project
379,tayhatmaker it s possible in the room to feel a time when this was our city and when we were still dangerous
380,tayhatmaker it s the first of the closing events it s probably my last time here many years dancing in my head
383,periscope is moving my tush to finally get an iphone and change my os plus or regular unlocked or contract your recommendation fb
384,ashedryden thanks
386,earthquake small shakes in north oakland fb
387,nrrrdcore and there is genuine confusion and desire and discomfort i believe building emotional skills are at the core of making it better
388,nrrrdcore we ll find other ways to make the shift and it s a huge one we re on the beginning edge of but there will be many tantrums
389,nrrrdcore truth is that it can get better only when we earnestly connect w desire for that like folks do in couples counseling
390,nrrrdcore i think that s wise i now have a one reply policy w men on gender online and only if their one comment reflects some savvy
391,nrrrdcore when those questions and statements are bullshit attempts to reframe and thus ignore what you said in the first place
392,nrrrdcore what you originally said is very powerful but most nerds chicks included can default to answering questions directly even
393,nrrrdcore thing is that without any emotional awareness or skills i don t know how anything moves forward with those guys will go around
394,nrrrdcore yes and the desperate attempt of someone with very weak to no emotional skills or self awareness
395,nrrrdcore reminds me of the chick who takes you aside in grade to tell you she s only telling you people hate you cuz she cares about you
396,nrrrdcore your statements can t reflect a reality and if they do it is still a tactical mistake
397,nrrrdcore it s really common and it s always couched as some intellectually savvy tactical advice when the issue is rarely intellectual
398,rt nrrrdcore heathr it s also threatening right like you don t want me as your enemy psssh don t care
399,nrrrdcore it s a pretty common response eh you aren t being smart weird care taking negging
401,jenkirkman virgotex didn t see any comedy boys outraged over the recent outrage dump on lenadunham
402,ashedryden lizhenry would love to speak at alterconf where s the best place to email you
404,marikotamaki and i were thrown out of toy terminal in toronto a reg toy store for kissing because we re gay stores pull this crap fb
406,jboxt i guess lgbt dating should start advertising in their organized anti gay work
407,rt jboxt heathr lds advertises in the playbill of book of mormon
408,eireanndolan thank you from this oakland lesbian it s great to be boring here we ll do our best to make the game
410,frakintosh pretty interesting they re timing it to the going clear broadcast and the book launch projects that reem them
412,anyone else getting the scientology advertising kind of amazing they feel going clear will help them recruit http t co wqqllqb rr
417,tiffanyshlain can t imagine either of them would want the job as much as we d enjoy them doing it
422,if you coulda followed every jon stewart joke before he hosted tds you might have felt the same way as you do abt lenadunham or trevornoah
423,night good people fb
424,carrieffisher do it times a day for weeks for it to make real sense and bravo on her performance in liberace
425,mediachick i just watched it it s well done alex gibney films always are leaves you feeling cruise and travolta can t maintain status quo
426,if you dubbed in language about machine learning and cloud computing could the david miscavige rallies could rubble as tech conferences fb
427,rt jonimitchellcom joni is currently in intensive care in an la area hospital but is awake and in good spirits more updates to come as w
428,susie c absolutely same for radio programs and video shorts and if they need to own it the price needs to be quite different
429,going clear is pretty great wondering when and how the following travolta cruise bombshells drops fb
430,tomcoates we re gay too big big gay also bears
431,big gay is kind of like costco with bins of kale incense and quinoa fb
432,i love hearing the kids in my neighbourhood play outside though i m sure a amazon will develop a button for that fb
433,if amazon got cents a vote we d have a slammin democracy in a matter of weeks fb
435,rt rachelsklar sally asked rabiasquared abt white priv we just needed somebody to do a good job with this i can t hold her whiteness
438,rt jackieosterrod please rt uber uber support is losing me s b c my account has been hacked locked by the hacker amp uber has no p
440,hchamp and canadian password
441,documentally it means a new kind of talk that makes an event more than a moment to record for youtube
442,rt documentally great skype chat with heathr just now thinking of delivering some kind of double header at an event somewhere lt not s
443,has the jackson family said anything about the new law in their home state of indiana fb
444,mattthomas wonder if that happened with car makers and horses
445,rt pinboard we ll know that holacracy truly works when even the lowliest janitor at zappos can threaten to fire everyone for not reading
447,oh cool guy wearing security baseball hat they said they are only interviewing girls for marketing jobs fuck that diversity matters
449,grrl thanks we re all good a service came
451,rt elonmusk major new tesla product line not a car will be unveiled at our hawthorne design studio on thurs pm april
452,anyone in the glen park neighbourhood able to come give our car a jump right now red car next to the bart fb
453,rt chrisrock thank you president obama http t co pgfjccyrta
455,sportjules thanks
457,night good people fb
458,musingvirtual katebornstein so sorry it s hard sending much love
459,katebornstein was just talking about this in the workshop of my show tonight
460,so many brave souls standing up to lena dunham surely this means we ll never see another holocaust fb
461,have never had more gentile people decide to tell me what s anti semitic in my life fb
462,feeling really good about creating a space for owning up to loss honestly in public everything is subject to change is coming along eistc
463,great everything is subject to change workshop tonight interactive shows have surprises tonight a cat bit me during the show fb
464,sportjules thanks julia i did them as part of the seder performing today citywinerynapa thx for the nice words i ll make a blog post
465,thanks citywinerynapa it was fun performing at your seder today as always fb
466,the k costing of the first born sanfranciscoplagues
467,gay people leaving why dance
468,if there s no water i ll just drink coffee an entire generation said fuck politics we re going to perfect coffee and they did
469,sun no worry doesn t water come from whole foods sanfranciscoplagues
470,condo infestation are even the vineyards immune sanfranciscoplagues
471,salted caramel ice cream waiting in line for hours to eat used to be called communism sanfranciscoplagues
472,gluten sanfranciscoplagues
473,selfie stick you never need to talk to another stranger in person again sanfranciscoplagues
474,everybody gets iphones you need for nothing else sanfranciscoplagues
475,happy pesach people the plagues of san francisco small plates restaurants they suck you in only it ll be fine
476,sandyanne member of the tribe
477,sandyanne also you re totally an honorary mot
478,sandyanne it s the napa valley it s good wine and the audience is getting happy
479,sandyanne thanks sandra this seder show has glasses of wine instead of
482,night good people fb
485,thinking about thinning my twitter feed down to just sherman alexie
486,rt sherman alexie in conservative parlance job creator means rich enough to hire more people amp pay them better but hides cash oversea
493,rt liberationnyc everything that s wrong with nyc summed up in one photo eventphotosnyc friday night eastvillage evgrieve http t co
494,if dunham s piece was done by phyllis diller about her husband in no one would care or philip roth about his jewish girlfriend
495,can t wait to see how the blogosphere and haaretz time etc react to the next jewish mother jewish wife joke predicting crickets
498,tristanshouts thanks
499,thankyouellenpao an early valley job i had a colleague who studiously avoided sharing contacts or introductions with me he s a vc now
502,kleiner won the battle and lost the war except the didn t because in the long run a more diverse honest investment field is better
504,ekp you are one tough cookie thank you
505,thejeffdavidson no kidding
506,rt caseymalone heathr what if we hire a woman and she sues us think of the time it ll take to crush her in court
507,suzisteffen thanks suzi you re very kind
508,thejeffdavidson morningjewshow what am i chopped liver kthalps and lenadunham is a babe
509,mt thejeffdavidson heathr morningjewshow many wmn have an intense love for their dogs comparison is not necessarily an insult kthalps
510,thejeffdavidson heathr morningjewshow dunham amp halper both talented cute funny lena is a meeskite katie is kinda hot kthalps
511,now no one will hire women whisper vcs and angels firms already not hiring women ellenpao fb
512,the thing is that any woman who s dealt with vcs knows this stuff is rampant and the water we swim in and this case has been a gauntlet
513,this wasn t the case felt pao lost the case on her cross exam and credibility mistakes were made in the response
514,my employment discrimination atty friend who was in courtroom expected a loss there s lots of discrimination out there she said
515,rt michellequinn kleiner nine that s the number we are trying to reach nine jurors have to agree on the retaliation claim
516,rt michellequinn kleiner we are in limbo here waiting in the halls but the essence is pao lost
517,rt michellequinn kleiner she loses on everything no gender discrimination and no retaliation no polling the jurors
518,rt michellequinn kleiner juror a man says yes to everything juror a man no to everything they only needed nine people to agr
519,coreyjf it s comedy
520,daphne noon twobodyproblem emilynussbaum i have no idea but she s plenty jewish for me also nobody says they re not jewish like jews
521,coreyjf maybe very literal i don t know you know yourself best
522,bethany i do a show called morningjewshow i make fun of jews every week
523,bethany ba i love you but that s not my point please re read think about the context
524,coreyjf the uproar itself is misogynistic
525,coreyjf i m saying go back to new york stories or whore of mensa coming out and tell me there was this uproar yeah right
526,fredericg did the producer of rock s show feel bullied into making a statement i dont think so plus it s funny and the bit killed
527,in other words it s not a comedy problem y all are angry about
528,if you are enraged about lenadunham s piece then you need to be enraged about chris rock s keep your daughter off the pole bit
530,emilynussbaum avidlearner just don t get to use that word very often mitzvah points nussbaum
531,coreyjf the response to dunham is arguably misogynistic unless you think people used to be this flipped out about woody allen s work
532,coreyjf it s inside corey it s a different ballgame unless you wanna call chris rocks work racist which is meshugenah
533,can t think of one rt jamescallanlast week tonight with john oliver has there ever been a show that found its voice so quickly hbo
534,cause post bibi speech election racism european events left calling jews racist a lot some n american jews frightened to say boo
535,how much of this is because people are truly scared about real anti semitism and too afraid to say that lenadunham
537,do you know how easy it is in comedy to be accused of hating men now ask yourself how often most comics are accused of hating women
539,rt michellequinn kleiner reporters wait for the court doors to open on th floor of sf superior court verdict expected at
540,and i d love to see people be willing to identify and fight anti semitism when it shows up in places where it s not a joyride to kvetch
541,emilynussbaum tcarmody i watched social network with pomeranian which was great though it signaled the end of the good ol web days
542,emilynussbaum tcarmody thanks i will that wd be a great way to watch we ll be in nyc in may hopefully do some shows too
544,i am i won t say offended but super disappointed to see so many of my people not put comedy as high as we often do oy lenadunham
545,emilynussbaum harrisj tcarmody her rape stuff is her best stuff imo i love it
546,or are you losing your mind because maybe lenadunham nailed something about some jewish men
547,emilynussbaum tcarmody dunham has gotten more grief over one shouts and murmurs piece than rock s been given over a career of gender jokes
548,walrusmaster i love that you tweeted me about this i am a proud canadian
549,how much are people going after lenadunham s piece because she s a comfortable target no bravery here edgy freedom fighters
550,you only have to see a bagel at least that s my bar but she has a jewish mum she wouldn t know some of those bits if she didn t
551,how much of the crazy resentment thrown at lenadunham is because she s jewish to be fair morningjewshow has a v low bar
552,if you are angry because you don t think lenadunham s new yorker piece is funny go read the last some of those aren t
553,you guys i ve never even seen girls but i don t care i get this piece i don t have to think it s blazing saddles to think it s humour
554,apstamm morningjewshow is ready to replace abe foxman yesterday rachelsklar
555,apstamm oh sure women are supposed to be joked about when men are it s the people oy vey iz mir rachelsklar
556,rushkoff for serious criticism than lena dunham s recent shouts and murmurs piece
557,rushkoff laws and campaigning on it it s theocratic internal israel style politics in the us that s worth way more focus for jews
558,rushkoff i don t remember the sign though i remember barney s beanery but signs about gays and aids are an old thing governors passing
559,you might be uncomfortable that doesn t make the joke anti semitic this piece is saying some uncomfortable jewish stuff out loud good
560,jews were killed in a supermarket in france recently would you even make your avatar je suis juif or are you only ballsy about dunham
561,it s offering to set a straight jewish male comic up with a jewish woman to prove miracles can happen
562,the hard stuff is facing the left when it s anti semitic it s criticizing israel without worry about being a shonda for the goyim
563,mobilize against real problems remember when you are safe find your freedom inside keep your sense of humour
564,jews freaked out by anti semitism indiana just passed a law to put up signs in stores saying no gays please take a note fr fellow queers
565,seriously i ve watched folks on the left go after their own constantly at the weirder times because it s a target you re unafraid of
567,i have never seen a piece by a jewish male comic called anti semitic not once
568,she s a jewish humorist so am i the best thing about being jewish is the jokes seriously it s our strength people don t lose it
